processed 435363 boxes, open 92932, queue chunks 6, 11s
processed 632959 boxes, open 65954, queue chunks 8, 15s
processed 805223 boxes, open 38464, queue chunks 10, 18s
processed 1400767 boxes, open 20574, queue chunks 7, 30s
processed 2209901 boxes, open 39184, queue chunks 5, 52s
processed 2402287 boxes, open 35942, queue chunks 7, 57s
processed 2605683 boxes, open 16888, queue chunks 7, 61s
processed 3019709 boxes, open 71496, queue chunks 3, 71s
processed 3219571 boxes, open 69928, queue chunks 5, 75s
processed 4024613 boxes, open 50308, queue chunks 13, 95s
processed 4600993 boxes, open 11578, queue chunks 9, 106s
processed 4800223 boxes, open 6212, queue chunks 8, 110s
processed 5804239 boxes, open 27518, queue chunks 4, 133s
processed 6007033 boxes, open 37378, queue chunks 4, 138s
processed 6809491 boxes, open 29988, queue chunks 3, 156s
